基因ID
c61376.graph_c0
c92253.graph_c0
c91979.graph_c0
c73128.graph_c0
c93517.graph_c1
c79936.graph_c0
c92637.graph_c1
c87961.graph_c1
c93683.graph_c0
c90405.graph_c0
