分组,倍数
a,1.298338588
a,4.812100144
a,4.277199994
a,3.20427951
a,2.514026749
a,1.866065983
a,1.228303149
a,4.046477761
a,2.340256506
a,0.801069878
a,2.639015822
a,0.683020128
c,3.775497251
c,2.168453741
c,1.63202897
c,5.762387447
c,2.901234011
c,6.291191743
c,2.719484746
c,5.074737975
c,2.614738494
c,6.573522517
n,4.367073058
n,7.817279747
n,4.913212597
n,10.056107
n,18.00093576
n,10.77786861
n,2.400497333
